person_uri,year,gender_label,gender_uri
http://www.wikidata.org/entity/Q101289790,1966,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q101307,1878,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101394,1910,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1015233,1846,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101540815,1956,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q101552364,1960,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101552525,1969,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101579173,1924,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101596,1965,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101627274,1859,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101678,1926,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101771,1929,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101809,1964,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101885,1965,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101897170,1872,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101910,1950,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101915,1801,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101927223,1958,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q101954,1857,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102022,1838,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102078101,1973,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102078229,1944,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102182635,1978,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102184402,1856,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102228,1897,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102243998,1923,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102245502,1930,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102246027,1921,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102247091,1952,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102247295,1931,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102247700,1960,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102250535,1918,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102260294,1959,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102276239,1946,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102279121,1836,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102293432,1941,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102312919,1932,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102348,1939,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102348758,1970,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102348948,1943,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102352658,1953,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102360588,1908,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q102370,1919,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102428652,1963,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102592,1818,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10264441,1947,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10268141,1920,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10268357,1927,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10270694,1966,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10272408,1916,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102744,1955,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10280787,1870,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10281227,1916,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10281261,1921,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10284995,1833,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10285446,1852,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10285676,1804,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10287883,1847,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10289641,1953,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10289891,1927,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102913,1930,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10295856,1885,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q102971,1949,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10306464,1924,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10307378,1806,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10307516,1953,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10307586,1965,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103076680,1956,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1030838,1974,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q1030884,1925,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10309419,1888,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103102,1843,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103103,1890,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1031045,1859,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10310677,1944,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10310758,1890,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10311030,1908,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103120,1895,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10313177,1818,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1031450,1826,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10320276,1913,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10321741,1913,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1032201,1818,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10322982,1977,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q1032387,1925,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10323919,1895,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103240,1881,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10324194,1894,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10325619,1911,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q1032757,1920,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1032924,1788,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103323510,1922,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1033420,1849,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1034352,1933,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q1034478,1822,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1034478,1824,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103449635,1906,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103450463,1966,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10347690,1959,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10348955,1914,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10349667,1909,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1035501,1891,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103563,1872,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1036415,1884,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10369134,1828,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103704,1879,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1037052,1861,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1037103,1893,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103725272,1954,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q103750,1958,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103766,1943,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q1037854,1871,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103813817,1927,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103820116,1887,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103820125,1945,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103820125,1940,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103821533,1938,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103821910,1829,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103825410,1959,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1038265,1814,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103867138,1964,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103867140,1976,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103867147,1939,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q10388655,1909,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103915870,1959,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10391750,1907,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q10392745,1948,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103947924,1960,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q103950531,1807,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103972619,1943,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q103980179,1917,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q103983023,1951,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1039916,1821,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1040101,1897,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1040129,1859,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104023472,1958,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104028846,1874,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104034830,1938,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104034895,1949,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q1040351,1956,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q1040466,1868,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104056968,1958,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104086747,1929,male,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q104089446,1959,female,http://www.wikidata.org/entity/Q6581072
http://www.wikidata.org/entity/Q104094300,1929,male,http://www.wikidata.org/entity/Q6581097
