education_uri,education_label,count
http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",19
http://www.wikidata.org/entity/Q1333399,University of Leicester,19
http://www.wikidata.org/entity/Q466718,American School of Classical Studies at Athens,18
http://www.wikidata.org/entity/Q788091,Autonomous University of Madrid,18
http://www.wikidata.org/entity/Q2418908,Belarusian State University,18
http://www.wikidata.org/entity/Q1035745,Cardiff University,18
http://www.wikidata.org/entity/Q4204467,Faculty of History and Philology of Moscow University,18
http://www.wikidata.org/entity/Q28024477,Imperial University of Dorpat,18
http://www.wikidata.org/entity/Q20266330,Frederick William University Berlin,18
http://www.wikidata.org/entity/Q1394262,Paris Nanterre University,18
http://www.wikidata.org/entity/Q194445,Cairo University,17
http://www.wikidata.org/entity/Q32120,Martin Luther University Halle-Wittenberg,17
http://www.wikidata.org/entity/Q1067935,Laval University,17
http://www.wikidata.org/entity/Q194223,University of Buenos Aires,17
http://www.wikidata.org/entity/Q383568,University of Valencia,17
http://www.wikidata.org/entity/Q622683,University of Graz,17
http://www.wikidata.org/entity/Q967165,University of York,17
http://www.wikidata.org/entity/Q113788,Kazan Federal University,16
http://www.wikidata.org/entity/Q651133,National University of Uzbekistan named after Mirzo Ulugbek,16
http://www.wikidata.org/entity/Q650068,Peterhouse,16
http://www.wikidata.org/entity/Q1247589,Newnham College,16
http://www.wikidata.org/entity/Q2624776,National School of Anthropology and History,16
http://www.wikidata.org/entity/Q584919,University of Madrid,16
http://www.wikidata.org/entity/Q274486,Waseda University,16
http://www.wikidata.org/entity/Q3064325,Faculty of Arts of Paris,15
http://www.wikidata.org/entity/Q81162,Magdalen College,15
http://www.wikidata.org/entity/Q50662,Goethe University Frankfurt,15
http://www.wikidata.org/entity/Q1247373,Harrow School,15
http://www.wikidata.org/entity/Q37008,Tbilisi State University,15
http://www.wikidata.org/entity/Q49210,New York University,15
http://www.wikidata.org/entity/Q28695,University of Helsinki,15
http://www.wikidata.org/entity/Q372608,University of Basel,15
http://www.wikidata.org/entity/Q608338,University of Bucharest,15
http://www.wikidata.org/entity/Q223429,University of Birmingham,15
http://www.wikidata.org/entity/Q76473,University of Southampton,15
http://www.wikidata.org/entity/Q658192,Vilnius University,15
http://www.wikidata.org/entity/Q1236345,University of Murcia,15
http://www.wikidata.org/entity/Q157575,University of Strasbourg,15
http://www.wikidata.org/entity/Q258464,"Trinity College, Dublin",15
http://www.wikidata.org/entity/Q487556,University of Sydney,15
http://www.wikidata.org/entity/Q238101,University of Minnesota,15
http://www.wikidata.org/entity/Q745967,Christ Church,14
http://www.wikidata.org/entity/Q49116,Dartmouth College,14
http://www.wikidata.org/entity/Q9379463,"Faculty of History, Adam Mickiewicz University",14
http://www.wikidata.org/entity/Q273626,École polytechnique,14
http://www.wikidata.org/entity/Q49114,Brown University,14
http://www.wikidata.org/entity/Q805285,Balliol College,14
http://www.wikidata.org/entity/Q127990,Australian National University,14
http://www.wikidata.org/entity/Q797846,Girton College,14
http://www.wikidata.org/entity/Q700758,Saarland University,14
http://www.wikidata.org/entity/Q1517401,Tavrida National V.I. Vernadsky University,14
http://www.wikidata.org/entity/Q1059517,Winchester College,14
http://www.wikidata.org/entity/Q459506,University of Bristol,14
http://www.wikidata.org/entity/Q49213,University of Texas at Austin,14
http://www.wikidata.org/entity/Q492467,University of Auckland,14
http://www.wikidata.org/entity/Q1124657,Bar-Ilan University,13
http://www.wikidata.org/entity/Q154561,Friedrich Schiller University Jena,13
http://www.wikidata.org/entity/Q273548,French School at Athens,13
http://www.wikidata.org/entity/Q1878600,Lycée Henri-IV,13
http://www.wikidata.org/entity/Q924289,King's College,13
http://www.wikidata.org/entity/Q956501,Pembroke College,13
http://www.wikidata.org/entity/Q41506,Stanford University,13
http://www.wikidata.org/entity/Q597236,Washington State University,13
http://www.wikidata.org/entity/Q766145,University of Oregon,13
http://www.wikidata.org/entity/Q308963,University of Salamanca,13
http://www.wikidata.org/entity/Q168426,University of Münster,13
http://www.wikidata.org/entity/Q768224,University of Valladolid,13
http://www.wikidata.org/entity/Q202660,Collège de France,12
http://www.wikidata.org/entity/Q4126647,Faculty of Oriental Studies of the St. Petersburg University,12
http://www.wikidata.org/entity/Q1633799,Baku State University,12
http://www.wikidata.org/entity/Q5854907,Facultad de Filosofía y Letras de la Universidad de Buenos Aires,12
http://www.wikidata.org/entity/Q670649,Irkutsk State University,12
http://www.wikidata.org/entity/Q1902016,Marlborough College,12
http://www.wikidata.org/entity/Q28729082,Imperial St. Petersburg University,12
http://www.wikidata.org/entity/Q4041,Lumière University Lyon 2,12
http://www.wikidata.org/entity/Q49124,Radcliffe College,12
http://www.wikidata.org/entity/Q951305,University of Cape Town,12
http://www.wikidata.org/entity/Q232141,University of Chile,12
http://www.wikidata.org/entity/Q193510,University of Padua,12
http://www.wikidata.org/entity/Q499510,University of Liverpool,12
