archaeologist,field_uri,field_label
http://www.wikidata.org/entity/Q11737751,http://www.wikidata.org/entity/Q1669589,classical archaeology
http://www.wikidata.org/entity/Q11737751,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11737751,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q117379830,http://www.wikidata.org/entity/Q115160303,translating activity
http://www.wikidata.org/entity/Q117379830,http://www.wikidata.org/entity/Q210272,cultural heritage
http://www.wikidata.org/entity/Q117379830,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q117379830,http://www.wikidata.org/entity/Q8242,literature
http://www.wikidata.org/entity/Q117421041,http://www.wikidata.org/entity/Q113884225,ancient archeology
http://www.wikidata.org/entity/Q117421041,http://www.wikidata.org/entity/Q11761,Bronze Age
http://www.wikidata.org/entity/Q117421041,http://www.wikidata.org/entity/Q217102,restoration
http://www.wikidata.org/entity/Q117421041,http://www.wikidata.org/entity/Q97074513,photographic documentation
