archaeologist,field_uri,field_label
http://www.wikidata.org/entity/Q113814672,http://www.wikidata.org/entity/Q28171280,ancient civilization
http://www.wikidata.org/entity/Q113814672,http://www.wikidata.org/entity/Q34187,religious studies
http://www.wikidata.org/entity/Q113814672,http://www.wikidata.org/entity/Q476294,oriental studies
http://www.wikidata.org/entity/Q113823347,http://www.wikidata.org/entity/Q11756,prehistory
http://www.wikidata.org/entity/Q113823347,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q113823347,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q113823347,http://www.wikidata.org/entity/Q609819,biblical archaeology
http://www.wikidata.org/entity/Q113824595,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q113830383,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q11383046,http://www.wikidata.org/entity/Q11756,prehistory
http://www.wikidata.org/entity/Q113832752,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q113832752,http://www.wikidata.org/entity/Q35497,Ancient Greek
http://www.wikidata.org/entity/Q113833986,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q113833986,http://www.wikidata.org/entity/Q5891,philosophy
http://www.wikidata.org/entity/Q113836650,http://www.wikidata.org/entity/Q1066186,study of history
http://www.wikidata.org/entity/Q113836650,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q113836650,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q113839239,http://www.wikidata.org/entity/Q1669589,classical archaeology
http://www.wikidata.org/entity/Q113839239,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q113839239,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q113844551,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q113845042,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q113845042,http://www.wikidata.org/entity/Q50641,history of art
http://www.wikidata.org/entity/Q113845151,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q113845151,http://www.wikidata.org/entity/Q609819,biblical archaeology
http://www.wikidata.org/entity/Q113845833,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q113845833,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q113846253,http://www.wikidata.org/entity/Q112989145,medieval sculpture
http://www.wikidata.org/entity/Q113846253,http://www.wikidata.org/entity/Q1669589,classical archaeology
http://www.wikidata.org/entity/Q113846253,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q113846253,http://www.wikidata.org/entity/Q24188534,courtly art
http://www.wikidata.org/entity/Q113846253,http://www.wikidata.org/entity/Q3281534,modern period
http://www.wikidata.org/entity/Q113846253,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q113846253,http://www.wikidata.org/entity/Q645717,Christian art
http://www.wikidata.org/entity/Q113904780,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q113955537,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q114001304,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q114154356,http://www.wikidata.org/entity/Q1254302,archaeology of the Roman provinces
http://www.wikidata.org/entity/Q11416939,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q11430432,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q114306453,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q114306453,http://www.wikidata.org/entity/Q2415966,prehistoric archaeology
http://www.wikidata.org/entity/Q11433848,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q11434642,http://www.wikidata.org/entity/Q130436,history of Japan
http://www.wikidata.org/entity/Q114378619,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q114410733,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q114410744,http://www.wikidata.org/entity/Q17175310,Middle Bronze Age
http://www.wikidata.org/entity/Q114410744,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q114410744,http://www.wikidata.org/entity/Q959782,archaeological excavation
http://www.wikidata.org/entity/Q114410749,http://www.wikidata.org/entity/Q23404,anthropology
http://www.wikidata.org/entity/Q114410749,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q114410797,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q114410801,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q114416,http://www.wikidata.org/entity/Q132151,ethnography
http://www.wikidata.org/entity/Q114416,http://www.wikidata.org/entity/Q23404,anthropology
