person_uri,education_uri,education_label
http://www.wikidata.org/entity/Q127324885,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q12873816,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q100600840,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q12288147,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q123600611,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q12272715,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q10998632,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q111599586,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q12875985,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q100989320,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q12875133,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q12875026,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q12874505,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q107284552,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q12882670,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q1243143,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q12879706,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q1682919,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q21601127,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q16327621,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q16330935,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q16332891,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q16330807,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q21031164,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q16327999,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q14902486,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q16512510,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q1436830,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q16062071,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q2049762,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q21065963,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q20683648,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q28105192,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q1507264,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q28313948,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q24089371,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q24089066,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q2359693,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q1529904,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q23781728,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q1755825,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q2269416,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q2343321,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q23726778,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q1392087,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q1381149,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q5522781,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q56347040,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q545617,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q31283699,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q31283865,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q42420522,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q3560652,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q47503424,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q885162,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q826128,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q95197325,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q65273202,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q6829484,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q810064,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q64074922,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q63557690,http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q17516098,http://www.wikidata.org/entity/Q54841669,"Gárdonyi Géza Cistercian High School, Eger, Hungary"
http://www.wikidata.org/entity/Q4708151,http://www.wikidata.org/entity/Q5491559,Franklin High School
http://www.wikidata.org/entity/Q2484394,http://www.wikidata.org/entity/Q5493652,Rossall School
http://www.wikidata.org/entity/Q1701974,http://www.wikidata.org/entity/Q5493652,Rossall School
http://www.wikidata.org/entity/Q131317885,http://www.wikidata.org/entity/Q550376,University of Baghdad
http://www.wikidata.org/entity/Q124805580,http://www.wikidata.org/entity/Q550376,University of Baghdad
http://www.wikidata.org/entity/Q12231350,http://www.wikidata.org/entity/Q550376,University of Baghdad
http://www.wikidata.org/entity/Q108884021,http://www.wikidata.org/entity/Q550376,University of Baghdad
http://www.wikidata.org/entity/Q12199756,http://www.wikidata.org/entity/Q550376,University of Baghdad
http://www.wikidata.org/entity/Q22132925,http://www.wikidata.org/entity/Q550376,University of Baghdad
http://www.wikidata.org/entity/Q16119764,http://www.wikidata.org/entity/Q550376,University of Baghdad
http://www.wikidata.org/entity/Q40889226,http://www.wikidata.org/entity/Q550376,University of Baghdad
http://www.wikidata.org/entity/Q60195280,http://www.wikidata.org/entity/Q550376,University of Baghdad
http://www.wikidata.org/entity/Q61546820,http://www.wikidata.org/entity/Q550376,University of Baghdad
http://www.wikidata.org/entity/Q6811478,http://www.wikidata.org/entity/Q550376,University of Baghdad
http://www.wikidata.org/entity/Q678483,http://www.wikidata.org/entity/Q55038,Berlin University of the Arts
http://www.wikidata.org/entity/Q130787634,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q101678,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1281716,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q134285891,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q108924,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q110594,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q110338,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q102348948,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1225931,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q12877683,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q12882670,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q135990698,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1222620,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q107810,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1268371,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q102971,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q13522645,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q15451130,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q15452035,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q20948026,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q15713676,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1610493,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1571348,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1745803,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1559553,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1459736,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1668570,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q2501709,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q16178213,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q22954621,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q21678779,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1928882,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q16332891,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1393940,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1584629,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1893253,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q14886692,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1894388,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q2652821,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q1679740,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q4721227,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q29048025,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q55187572,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q499713,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q3559321,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q566583,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q46746520,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q3314419,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q72507,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q76294,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q62933,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q97425,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q95243763,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q72855,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q7046979,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q96716,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q88051,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q87240895,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q6255143,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q90407,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q99090,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q90429,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q826128,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q825711,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q95689568,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q65690,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q66092,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q61423,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q90881,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q62095,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q99382,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q79485364,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q68824,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München
http://www.wikidata.org/entity/Q6333006,http://www.wikidata.org/entity/Q55078418,Mustiala agricultural institution
http://www.wikidata.org/entity/Q5539121,http://www.wikidata.org/entity/Q5519342,Galt Collegiate Institute and Vocational School
http://www.wikidata.org/entity/Q87443137,http://www.wikidata.org/entity/Q5521430,Gannon University
http://www.wikidata.org/entity/Q93372338,http://www.wikidata.org/entity/Q55593285,Indiana University Fort Wayne
http://www.wikidata.org/entity/Q950726,http://www.wikidata.org/entity/Q5566738,The Glasgow Academy
http://www.wikidata.org/entity/Q2502329,http://www.wikidata.org/entity/Q5572096,Gloucestershire College
http://www.wikidata.org/entity/Q105071778,http://www.wikidata.org/entity/Q557597,University of Dar es Salaam
http://www.wikidata.org/entity/Q55584982,http://www.wikidata.org/entity/Q557597,University of Dar es Salaam
http://www.wikidata.org/entity/Q89198631,http://www.wikidata.org/entity/Q5576249,Goddard College
http://www.wikidata.org/entity/Q442750,http://www.wikidata.org/entity/Q5576782,Godolphin and Latymer School
http://www.wikidata.org/entity/Q106020350,http://www.wikidata.org/entity/Q55849612,Paris Cité University
http://www.wikidata.org/entity/Q115203416,http://www.wikidata.org/entity/Q5592036,Graduate School of Chinese Academy of Social Sciences
http://www.wikidata.org/entity/Q112399132,http://www.wikidata.org/entity/Q5592036,Graduate School of Chinese Academy of Social Sciences
http://www.wikidata.org/entity/Q99975971,http://www.wikidata.org/entity/Q5597915,Gravesend Grammar School
http://www.wikidata.org/entity/Q135005011,http://www.wikidata.org/entity/Q5598352,Grays Harbor College
http://www.wikidata.org/entity/Q309602,http://www.wikidata.org/entity/Q5599084,Great Ealing School
http://www.wikidata.org/entity/Q4706757,http://www.wikidata.org/entity/Q5608127,Grey College
http://www.wikidata.org/entity/Q116618942,http://www.wikidata.org/entity/Q56084393,Kazan teacher's seminary
http://www.wikidata.org/entity/Q141037,http://www.wikidata.org/entity/Q5611413,Grove House School
http://www.wikidata.org/entity/Q32178355,http://www.wikidata.org/entity/Q5613747,Guangzhou University
http://www.wikidata.org/entity/Q54557046,http://www.wikidata.org/entity/Q5623834,Gwynedd Mercy University
http://www.wikidata.org/entity/Q86834767,http://www.wikidata.org/entity/Q56259221,Pinsk Realschule
http://www.wikidata.org/entity/Q3920509,http://www.wikidata.org/entity/Q56314886,Faculty of Journalism of the Belarusian State University
http://www.wikidata.org/entity/Q19870962,http://www.wikidata.org/entity/Q5636716,Haberdashers' Aske's School for Girls
http://www.wikidata.org/entity/Q125876229,http://www.wikidata.org/entity/Q56390115,Kalocsai Szent István Gimnázium
http://www.wikidata.org/entity/Q102243998,http://www.wikidata.org/entity/Q5639263,Haileybury and Imperial Service College
http://www.wikidata.org/entity/Q5342329,http://www.wikidata.org/entity/Q5639263,Haileybury and Imperial Service College
http://www.wikidata.org/entity/Q6687197,http://www.wikidata.org/entity/Q5639263,Haileybury and Imperial Service College
http://www.wikidata.org/entity/Q8012632,http://www.wikidata.org/entity/Q5639263,Haileybury and Imperial Service College
http://www.wikidata.org/entity/Q1400749,http://www.wikidata.org/entity/Q564248,Buckingham Browne & Nichols School
