person_uri,education_uri,education_label
http://www.wikidata.org/entity/Q108742803,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12161399,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12138669,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q117423965,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12169884,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12169934,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12172172,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12172174,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12173022,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q12123969,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q21618101,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q28701937,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
http://www.wikidata.org/entity/Q28701935,http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv
