person_uri,person_label
http://www.wikidata.org/entity/Q102279121,Giovan Battista Rossi Scotti
http://www.wikidata.org/entity/Q102293432,Alison Easson
http://www.wikidata.org/entity/Q102312919,Zofia Sztetyłło
http://www.wikidata.org/entity/Q102348,Hayo Vierck
http://www.wikidata.org/entity/Q102348758,Barbara Tober
http://www.wikidata.org/entity/Q102348948,Markus Wäfler
http://www.wikidata.org/entity/Q102352658,Priscilla Renouf
http://www.wikidata.org/entity/Q102360588,Margaret E. Wood
http://www.wikidata.org/entity/Q102370,Alfred Mallwitz
http://www.wikidata.org/entity/Q102428652,José Antonio Mínguez Morales
http://www.wikidata.org/entity/Q102592,Eduard von Kallee
http://www.wikidata.org/entity/Q10264441,David Rindos
http://www.wikidata.org/entity/Q10268141,Domingos de Pinho Brandão
http://www.wikidata.org/entity/Q10268357,Dorath Pinto Uchôa
http://www.wikidata.org/entity/Q10270694,Eduardo Góes Neves
http://www.wikidata.org/entity/Q10272408,Emilio Estrada
http://www.wikidata.org/entity/Q102744,Ricardo Eichmann
http://www.wikidata.org/entity/Q10280787,Federico Maciñeira
http://www.wikidata.org/entity/Q10281227,Fernando Altenfelder Silva
http://www.wikidata.org/entity/Q10281261,Fernando Bandeira Ferreira
http://www.wikidata.org/entity/Q102822449,Milette Gaifman
http://www.wikidata.org/entity/Q10284995,Francisco Martins Sarmento
http://www.wikidata.org/entity/Q10285446,Francisco de Sales da Costa Lobo
http://www.wikidata.org/entity/Q10285676,François-Joseph Nolau
http://www.wikidata.org/entity/Q10287883,Gabriel Pereira
http://www.wikidata.org/entity/Q10289641,Gilson Rodolfo Martins
http://www.wikidata.org/entity/Q10289891,Giovanni Gallo
http://www.wikidata.org/entity/Q102913,Bernard Andreae
http://www.wikidata.org/entity/Q10295856,Hipólito Cabaço
http://www.wikidata.org/entity/Q102971,Gerhard Zimmer
http://www.wikidata.org/entity/Q10306464,Javier Cabrera Darquea
http://www.wikidata.org/entity/Q10307378,Joaquim Possidónio Narciso da Silva
http://www.wikidata.org/entity/Q10307516,Joaquina Soares
http://www.wikidata.org/entity/Q10307586,Joel Cleto
http://www.wikidata.org/entity/Q103076680,Charles Stanish
http://www.wikidata.org/entity/Q1030838,Cecília Gábli
http://www.wikidata.org/entity/Q1030884,Miklós Gábori
http://www.wikidata.org/entity/Q10309419,José Formosinho
http://www.wikidata.org/entity/Q103102,Otto Tischler
http://www.wikidata.org/entity/Q103103,Wilhelm Gaerte
http://www.wikidata.org/entity/Q1031045,Ignác Gálffy
http://www.wikidata.org/entity/Q10310677,José d'Encarnação
http://www.wikidata.org/entity/Q10310758,José de Azevêdo Dantas
http://www.wikidata.org/entity/Q10311030,João Alfredo Rohr
http://www.wikidata.org/entity/Q103120,Carl Engel
http://www.wikidata.org/entity/Q10313177,Justino Cúmano
http://www.wikidata.org/entity/Q1031450,Imre Gózon
http://www.wikidata.org/entity/Q10320276,Luciano Afonso dos Santos
http://www.wikidata.org/entity/Q10321741,Luís de Castro Faria
http://www.wikidata.org/entity/Q1032201,Lajos Haan
http://www.wikidata.org/entity/Q10322982,Mafalda Capela
http://www.wikidata.org/entity/Q1032387,Leslie Alcock
http://www.wikidata.org/entity/Q10323919,Manuel Afonso do Paço
http://www.wikidata.org/entity/Q103240,Fritz Krischen
http://www.wikidata.org/entity/Q10324194,Manuel Heleno
http://www.wikidata.org/entity/Q10325619,Margarida Ribeiro
http://www.wikidata.org/entity/Q1032757,Gyula Hajnóczi
http://www.wikidata.org/entity/Q1032924,Antal Haliczky
http://www.wikidata.org/entity/Q103323510,Miklós Héjj
http://www.wikidata.org/entity/Q1033420,József Hampel
http://www.wikidata.org/entity/Q1034352,Hattula Moholy-Nagy
http://www.wikidata.org/entity/Q1034478,Sándor Havas
http://www.wikidata.org/entity/Q103449635,Henry Detweiler
http://www.wikidata.org/entity/Q103450463,Karl Banghard
http://www.wikidata.org/entity/Q10347690,Pedro Paulo Funari
http://www.wikidata.org/entity/Q10348955,Peter Paul Hilbert
http://www.wikidata.org/entity/Q10349667,Pierre Biberson
http://www.wikidata.org/entity/Q1035501,János Herepei
http://www.wikidata.org/entity/Q103563,Carl Maria Kaufmann
http://www.wikidata.org/entity/Q1036415,Jenő Hillebrand
http://www.wikidata.org/entity/Q10367105,Salvador Dias Arnaut
http://www.wikidata.org/entity/Q10369134,Estácio da Veiga
http://www.wikidata.org/entity/Q103704,Karl Siegfried Döhring
http://www.wikidata.org/entity/Q1037052,Bernhard Salin
http://www.wikidata.org/entity/Q1037103,Carl Blümel
http://www.wikidata.org/entity/Q103725272,Zosia Archibald
http://www.wikidata.org/entity/Q103750,Dieter Vieweger
http://www.wikidata.org/entity/Q103766,Christine Strube
http://www.wikidata.org/entity/Q1037854,Carl Fredrich
http://www.wikidata.org/entity/Q103813817,Dušan Jelovina
http://www.wikidata.org/entity/Q103820116,Stephen Bleecker Luce
http://www.wikidata.org/entity/Q103820125,Peter Marsden
http://www.wikidata.org/entity/Q103821533,Cristóbal Campana Delgado
http://www.wikidata.org/entity/Q103821910,Andrea Amoroso
http://www.wikidata.org/entity/Q103825410,Hans Barnard
http://www.wikidata.org/entity/Q1038265,Jacob Carl Georg von Sievers
http://www.wikidata.org/entity/Q103830863,Sarah Culpepper Stroup
http://www.wikidata.org/entity/Q103867138,Maciej Kaczmarek
http://www.wikidata.org/entity/Q103867140,Artur Różański
http://www.wikidata.org/entity/Q103867147,Andrzej Rozwadowski
http://www.wikidata.org/entity/Q10388655,Vagn Poulsen
