,person_uri,per_activ,gender,country,occup_s,edpl
70,http://www.wikidata.org/entity/Q4369756,1851-1875,male,Russian Federation,other,Saint Petersburg State University
71,http://www.wikidata.org/entity/Q3425464,1826-1850,male,Belgium Netherl.,other,other_uni
72,http://www.wikidata.org/entity/Q2831339,1826-1850,male,France,historian,other_uni
73,http://www.wikidata.org/entity/Q2827372,1826-1850,male,France,anthropologist,other_uni
74,http://www.wikidata.org/entity/Q2825127,1826-1850,male,France,other,École des chartes
75,http://www.wikidata.org/entity/Q56635,1826-1850,male,United States Can.,historian,other_uni
76,http://www.wikidata.org/entity/Q5670706,1851-1875,male,United Kingdom,anthropologist,other_uni
77,http://www.wikidata.org/entity/Q5728252,1851-1875,male,United Kingdom,writer,other_uni
78,http://www.wikidata.org/entity/Q23901669,1851-1875,male,United Kingdom,historian,other_uni
79,http://www.wikidata.org/entity/Q2317861,1851-1875,male,France,other,other_uni
80,http://www.wikidata.org/entity/Q3048446,1851-1875,male,France,historian,École Normale Supérieure
81,http://www.wikidata.org/entity/Q2839868,1826-1850,male,France,other,other_uni
82,http://www.wikidata.org/entity/Q5492967,1826-1850,male,Germany,university-teacher,other_uni
83,http://www.wikidata.org/entity/Q549729,1851-1875,male,United Kingdom,university-teacher,other_uni
84,http://www.wikidata.org/entity/Q55072238,1851-1875,male,France,anthropologist,other_uni
85,http://www.wikidata.org/entity/Q5512496,1851-1875,male,United Kingdom,writer,other_uni
86,http://www.wikidata.org/entity/Q2978590,1851-1875,male,Baltic States Fin. Belar.,historian,other_uni
87,http://www.wikidata.org/entity/Q5546632,1851-1875,male,Austria Hungary,historian,University of Vienna
88,http://www.wikidata.org/entity/Q1090403,1851-1875,male,Italy,politician,other_uni
89,http://www.wikidata.org/entity/Q2860647,1826-1850,male,France,historian,other_uni
90,http://www.wikidata.org/entity/Q2856714,1851-1875,male,Belgium Netherl.,historian,other_uni
91,http://www.wikidata.org/entity/Q2853788,1826-1850,male,France,other,École Normale Supérieure
92,http://www.wikidata.org/entity/Q2839767,1851-1875,male,France,other,Beaux-Arts de Paris
93,http://www.wikidata.org/entity/Q86924,1826-1850,male,Germany,university-teacher,Leipzig University
94,http://www.wikidata.org/entity/Q15729474,1826-1850,male,France,historian,other_uni
95,http://www.wikidata.org/entity/Q17095381,1851-1875,male,Ukraine,historian,other_uni
96,http://www.wikidata.org/entity/Q97421,1851-1875,male,Germany,university-teacher,other_uni
97,http://www.wikidata.org/entity/Q1723669,1826-1850,male,Austria Hungary,prehistorian,other_uni
98,http://www.wikidata.org/entity/Q97425,1851-1875,male,Germany,anthropologist,University of Göttingen
99,http://www.wikidata.org/entity/Q1236294,1826-1850,male,United Kingdom,other,other_uni
100,http://www.wikidata.org/entity/Q77602,1826-1850,male,Germany,university-teacher,other_uni
101,http://www.wikidata.org/entity/Q15469,1826-1850,male,United Kingdom,politician,other_uni
102,http://www.wikidata.org/entity/Q1598436,1851-1875,male,Germany,art-historian,Humboldt-Universität zu Berlin
103,http://www.wikidata.org/entity/Q16359657,1826-1850,male,Baltic States Fin. Belar.,other,other_uni
104,http://www.wikidata.org/entity/Q85303,1826-1850,male,Czechia,university-teacher,University of Göttingen
105,http://www.wikidata.org/entity/Q160333,1826-1850,male,France,historian,other_uni
106,http://www.wikidata.org/entity/Q13157740,1851-1875,male,United Kingdom,other,other_uni
107,http://www.wikidata.org/entity/Q1339936,1851-1875,male,Germany,university-teacher,University of Bonn
108,http://www.wikidata.org/entity/Q82828680,1826-1850,male,France,historian,other_uni
109,http://www.wikidata.org/entity/Q88737,1851-1875,male,Czechia,anthropologist,other_uni
110,http://www.wikidata.org/entity/Q1681738,1826-1850,male,Czechia,university-teacher,University of Vienna
111,http://www.wikidata.org/entity/Q97039807,1851-1875,male,Poland,writer,other_uni
112,http://www.wikidata.org/entity/Q77231,1851-1875,male,Germany,university-teacher,Humboldt-Universität zu Berlin
113,http://www.wikidata.org/entity/Q76705,1826-1850,male,Germany,anthropologist,University of Bonn
114,http://www.wikidata.org/entity/Q1257861,1826-1850,male,Germany,university-teacher,Humboldt-Universität zu Berlin
115,http://www.wikidata.org/entity/Q1225169,1851-1875,male,Italy,art-historian,University of Göttingen
116,http://www.wikidata.org/entity/Q990655,1851-1875,male,Scandinavia,university-teacher,other_uni
117,http://www.wikidata.org/entity/Q2408040,1851-1875,male,France,historian,other_uni
118,http://www.wikidata.org/entity/Q2660801,1851-1875,male,Scandinavia,university-teacher,other_uni
119,http://www.wikidata.org/entity/Q5346490,1851-1875,male,United States Can.,anthropologist,other_uni
120,http://www.wikidata.org/entity/Q15992612,1851-1875,male,Russian Federation,university-teacher,other_uni
121,http://www.wikidata.org/entity/Q4714978,1851-1875,male,Ukraine,historian,other_uni
122,http://www.wikidata.org/entity/Q1355998,1851-1875,male,United Kingdom,university-teacher,other_uni
123,http://www.wikidata.org/entity/Q2960022,1851-1875,male,Belgium Netherl.,historian,other_uni
124,http://www.wikidata.org/entity/Q320612,1851-1875,male,Central Europe,art-historian,other_uni
125,http://www.wikidata.org/entity/Q5346929,1851-1875,male,United Kingdom,anthropologist,other_uni
126,http://www.wikidata.org/entity/Q2624092,1851-1875,male,Baltic States Fin. Belar.,historian,other_uni
127,http://www.wikidata.org/entity/Q5341779,1851-1875,male,United Kingdom,anthropologist,other_uni
128,http://www.wikidata.org/entity/Q450550,1851-1875,male,Baltic States Fin. Belar.,university-teacher,other_uni
129,http://www.wikidata.org/entity/Q3353704,1851-1875,male,United Kingdom,historian,other_uni
130,http://www.wikidata.org/entity/Q86809,1851-1875,male,Germany,university-teacher,University of Bonn
131,http://www.wikidata.org/entity/Q1479519,1851-1875,male,Belgium Netherl.,anthropologist,other_uni
132,http://www.wikidata.org/entity/Q5392816,1851-1875,male,France,anthropologist,other_uni
133,http://www.wikidata.org/entity/Q120617154,1851-1875,male,France,historian,École des chartes
134,http://www.wikidata.org/entity/Q2342814,1851-1875,male,France,other,École Normale Supérieure
135,http://www.wikidata.org/entity/Q455430,1851-1875,male,United Kingdom,historian,other_uni
