"archaeologist","gender","birthDate","archaeologistLabel","genderLabel"
"http://www.wikidata.org/entity/Q101002807","http://www.wikidata.org/entity/Q6581097","1889","John Alfred Spranger","male"
"http://www.wikidata.org/entity/Q1010297","http://www.wikidata.org/entity/Q6581097","1929","Burchard Brentjes","male"
"http://www.wikidata.org/entity/Q101044107","http://www.wikidata.org/entity/Q6581097","1933","Achille Solano","male"
"http://www.wikidata.org/entity/Q101046","http://www.wikidata.org/entity/Q6581097","1874","Ernst Diehl","male"
"http://www.wikidata.org/entity/Q101064729","http://www.wikidata.org/entity/Q6581072","1937","Marie-Odile Jentel","female"
"http://www.wikidata.org/entity/Q101064837","http://www.wikidata.org/entity/Q6581097","1967","Christophe Goumand","male"
"http://www.wikidata.org/entity/Q101078161","http://www.wikidata.org/entity/Q6581097","1832","William James Knowles","male"
"http://www.wikidata.org/entity/Q101084326","http://www.wikidata.org/entity/Q6581097","1977","Carlos Alberto Santos Costa","male"
"http://www.wikidata.org/entity/Q101109292","http://www.wikidata.org/entity/Q6581072","1933","Teresa Dąbrowska","female"
"http://www.wikidata.org/entity/Q101120550","http://www.wikidata.org/entity/Q6581072","1976","Daria Ložnjak Dizdar","female"
"http://www.wikidata.org/entity/Q101120562","http://www.wikidata.org/entity/Q6581097","1946","David B. Madsen","male"
"http://www.wikidata.org/entity/Q101163496","http://www.wikidata.org/entity/Q6581097","1974","Aaron A. Burke","male"
"http://www.wikidata.org/entity/Q1011794","http://www.wikidata.org/entity/Q6581097","1841","Ignác Gond","male"
"http://www.wikidata.org/entity/Q101200","http://www.wikidata.org/entity/Q6581097","1947","Klaus Grote","male"
"http://www.wikidata.org/entity/Q101208594","http://www.wikidata.org/entity/Q6581097","1770","Charles Mangon de La Lande","male"
"http://www.wikidata.org/entity/Q101209945","http://www.wikidata.org/entity/Q6581097","1887","Domenico Mallardo","male"
"http://www.wikidata.org/entity/Q101218689","http://www.wikidata.org/entity/Q6581097","1954","Roman Sauer","male"
"http://www.wikidata.org/entity/Q101223294","http://www.wikidata.org/entity/Q6581097","1934","Anton Bammer","male"
"http://www.wikidata.org/entity/Q101244220","http://www.wikidata.org/entity/Q6581097","1973","Alain Genot","male"
"http://www.wikidata.org/entity/Q101248889","http://www.wikidata.org/entity/Q6581097","1948","Sandro Salvatori","male"
"http://www.wikidata.org/entity/Q101289790","http://www.wikidata.org/entity/Q6581072","1966","Friederike Bubenheimer-Erhart","female"
"http://www.wikidata.org/entity/Q101307","http://www.wikidata.org/entity/Q6581097","1878","Uvo Hölscher","male"
"http://www.wikidata.org/entity/Q101394","http://www.wikidata.org/entity/Q6581097","1910","Erwin Walter Palm","male"
