p,propLabel,eff,notes
http://www.wikidata.org/prop/direct/P2210,relative to,2,
http://www.wikidata.org/prop/direct/P11105,annotator,2,
http://www.wikidata.org/prop/direct/P126,maintained by,2,
http://www.wikidata.org/prop/direct/P2579,studied by,2,
http://www.wikidata.org/prop/direct/P13914,collector,2,
http://www.wikidata.org/prop/direct/P1923,participating team,1,
http://www.wikidata.org/prop/direct/P8031,perpetrator,1,
http://www.wikidata.org/prop/direct/P1652,referee,1,
http://www.wikidata.org/prop/direct/P157,killed by,1,
http://www.wikidata.org/prop/direct/P156,followed by,1,
http://www.wikidata.org/prop/direct/P1365,replaces,1,
http://www.wikidata.org/prop/direct/P1299,depicted by,1,
http://www.wikidata.org/prop/direct/P1268,represents,1,
http://www.wikidata.org/prop/direct/P10606,notable role,1,
http://www.wikidata.org/prop/direct/P10602,applicant,1,
http://www.wikidata.org/prop/direct/P1040,film editor,1,
http://www.wikidata.org/prop/direct/P193,main building contractor,1,
http://www.wikidata.org/prop/direct/P2098,substitute/deputy/replacement of office/officeholder,1,
http://www.wikidata.org/prop/direct/P5804,has program committee member,1,
http://www.wikidata.org/prop/direct/P7604,supervised by,1,
http://www.wikidata.org/prop/direct/P2650,interested in,1,
http://www.wikidata.org/prop/direct/P276,location,1,
http://www.wikidata.org/prop/direct/P2828,corporate officer,1,
http://www.wikidata.org/prop/direct/P7169,substitute director/manager,1,
http://www.wikidata.org/prop/direct/P2868,subject has role,1,
http://www.wikidata.org/prop/direct/P3092,film crew member,1,
http://www.wikidata.org/prop/direct/P3095,practiced by,1,
http://www.wikidata.org/prop/direct/P3174,art director,1,
http://www.wikidata.org/prop/direct/P3300,musical conductor,1,
http://www.wikidata.org/prop/direct/P3680,statement supported by,1,
http://www.wikidata.org/prop/direct/P3919,contributed to creative work,1,
http://www.wikidata.org/prop/direct/P542,officially opened by,1,
